アカウント,ツイート内容（原文そのまま）
@Haruma_0612152,卒論なんて知らないんだけど何
@gkvsdnjs,怒涛の年末お正月のバイト連勤が終わり、やっと解放されたと思ったら卒論終わってないし、壁はまだまだあります…色々追えてないよ…
@kabedesu55,もし卒論の進捗が悪くて焦っている人がいたら元気出してほしい！！！5日提出なのに未だ半分も終わってない人間がここにいるから！！！！！！！！！！！みんなは先延ばしにせず今やろう！！！！！！！
@Sakichan_super,規則性も法則性もないので考察がただのこじつけになりそうな卒論、どうしましょうか、しかもね、そのこじつけすらも鬼畜だぜ！！！！！！終わりや
@miz_tm_u20,そろそろ卒論発表の準備した方が良い季節すぎて怯え
@takatuji0429,今日から3日が冬季期間授業実施日ですが、卒論執筆期間はあと10日あるいは375日です。
@mhckachu,卒論が追い込みなので低浮上です😔
@IrLspZVvH255831,卒論非常にまずい🫠🫠🫠しぬ気で学校通いつめます
@kuruikyosha,わしも誕生日だいたい3週間前🎶今は卒論がフィーバー🎶🎶（殺してね🎶🎶）
@Chammmo_,なんかもう卒論無視して先輩にクソリプするくらいしか楽しみがありません
@porn_hubsuke,卒論やってなさすぎてガチでやばいから明日大学の図書館行かないとでも仕方ないやん体調崩してんだから
@inachi_xx,金杯押し間違いで外したし卒論終わらん優しく殺してください
@chifuafua_mob,卒論やらないとなのにゲームしちゃう、脱出ゲーム
@RadioFreeVitez,俺があまりにも卒論のテーマを変えるものだから、実は教授は俺の卒論の前のテーマしか把握してないの本当に申し訳なく思ってる
@saotomeszg,うっふ～ン♡♡♡修士論文はお姉さんの専門外よ～ン♡♡♡♡♡(提出日の昼過ぎに卒論投了)
@WagtaiL_hiLd,卒論という名の修羅場を迎えていますが、添削結果が返ってきて大きな修整点がなければ解放される予定です
@nrtbaseuda,修論の参考文献50超えそうで草
@TanishiJumbo,明日で苦しかったバイト生活が終わる。ほんとに嬉しい。全然修論書いてないけど
@nat_num_pol,TLから修論や博論、公聴会に追われている空気がひしひし伝わってくる
@5gn7EhaE8NIiugi,なんかTwitter内では修士課程の皆様は非常に意識が高くて私の修論なんてカス以下だなぁと思っておりますが、完成させれば同じ修士号じゃの精神で書いております
@Yui_Onodera5,修論読んでるんだけど何で成り立つんこれってなる できるだけ行間埋めてるつもりなんだけど普通にスラスラ読めん(あほ)
@JyVIL3hij7yGmha,修論に載せる結果出てないのに修論が既に32ページになってる。文章書くの下手なんかな
@Gee____fa,修論で背景原理方法書くの面倒くさすぎてレクイエムした過ぎるな
@k74226197Y126,修論ネタのPDFのある箇所で納得いかなくてずっと計算してたら1日が終わってしまった
@crow31415,修論提出締め切りが明日です
@__mizu_21,修論が進まねえぜ
@5Fo65,リーグあたりから忙しいことを言い訳に様々な連絡を滞らせてしまって申し訳ないなあとりあえず修論仕上げないとだしこの1ヶ月はのんびりやらせてもらお
@Sitsu1993,けど実験したらしたで修論の時間がね…
@Sitsu1993,修論カタカタしてても実験がしたくてしょうがないなと思うなどしてる。
@amani_dskrdm,今日で9連休もあった年末年始休暇が終わって明日から仕事ってだけでもふざけんな状態なのに、明後日が修論提出期限って本当いい加減にしてほしいね〜
@Zackeyrp,今日の進捗修論歌姫-Abnegatio(Ⅰ)--Odium(Ⅱ)--Cupiditas(Ⅲ)--Abnegatio(Ⅰ)-定点カメラ-Odium(Ⅱ)-定点カメラ-Cupiditas(Ⅲ)-定点カメラ
@yayamekikoto,修士2年の時のワイ、まだ修論一文字も書いてなかったぞ。
@Ririo_luvm4o,全然だよ‼️‼️‼️私も最近浮上したりしなかったりだから…🫠卒論つらいよねわかる😭😭😭やった〜‼️‼️仲良くしよ〜ね🫂💞💞
@imonihamisoha,卒論提出が迫っているいま、生きがいが「Twitterに流れてくる変な車」だけになっていてつらい＞RT
@rinoko01,一番苦しい時期じゃない？就活と卒論と安月給で慣れない仕事のトリプルパンチ。彼氏もガキすぎてイライラするし、ピル買うお金もないから生理もつらい。
@ROYALprotein,就活よりはるかに卒論の方がつらい
@shino__116,卒論文字数だいぶ削られてしまってつらい
@FrosPhia,卒論つらい
@NATOSE417,卒論がつらい、終わるかわからん卒業できるのかな…
@ohm_smn,それな！今卒論をパソコンで書いてるけど無理すぎてつらい笑
@bugucc1nfo,つらい、寝なずに卒論書き上げて、電車50分遅れて、着いたら今日なかった🥲
@FrosPhia,卒論と就活は辛いけどもっとつらいことがあるぜ
@mugi_ishida,いしだゼミ ネットスラングが好きなんです 研究したら？ 憎しみで卒論したくない twitter xでしょ twitter 就活はどう？ 社不だから... みんなが社会不適合者を自称する...でもゼミに顔出せるんだから健全 就活がつらいです 大学の先生になったら？今日私10時に起きたよ 研究...
@nusi_j239,卒論つらい落単こわいもう踊るしかない
@2_nnt,大人はつらい、の再生産をしないように、負の連鎖をおれで食い止めないと……😌ぬまくんは卒論か、大変な時期だね（ ；∀；）がんばえ！お互いがんばろう……！！
@ZakiNet_Arbeit,偉すぎます！！私は…逃げたい 卒論つらい…
@Tokyo_Tarooo,理系学部でアンケート配ってるとこいつこれ卒論かよみてえな反応されてつらい
@3x7vUWo8yu7vDbI,卒論のとりあえず中間発表は終わったんだけど緊張しすぎて質疑応答顔真っ赤になってたつらい部屋暗かったからまだ見にくいとは思うけど恥ずかしすぎゆ
@yonemure3nnt3,卒論もある中で、新卒就活終わらないのキツイよな
@marupe_gi,卒論1年かけてやってきたのに終わらない😭😭先生OK出してよ😭😭て思ってたけど、1番最初の進捗報告から1年どころか全然半年も経ってないしそれならまあ進みもこんなもんか？？と思ったりはしている。だが早く終わりたい。
@un__corechan,なんと、卒論終わらない
@love_ryeo_wk,卒論が終わらない夢見て（ｎ回目）今日は学校行きたくないなー教授室に近づかないように…って思ったけど一応卒業できたんだったわ（でも今日は休みたい）
@Yama_towa04,卒論が終わらない、、、今年までには終わらせたい、絶対に夜更かししてでも頑張ります！
@tofuno_102,まじで卒論やばい何がやばいって結果だけで1.3万字書いてるってこと、そしてまだ結果が終わらない分析しすぎた
@hakasetarou_9,卒論終わらない
@3pC7x8y9WG3448,卒論が終わらないー！！！！！
@siori_0402,卒論が終わらないのでまだ無理なのですよ🥲︎
@aoi_rara_kiku,あーん😭！！今日までの卒論終わらないよーー！😭パチンコしたいよースロットしたいよー！！
@emptyset_1014,修論、書きたいことを全部書いていってる結果全然終わらない
@rif0taku,修論の差し替えが終わらないよ〜(ﾊﾞﾌﾞﾊﾞﾌﾞ
@i_am_kimshow,結局今日行ったから明日は行きません...(本当に修論が終わらないため)(28日〆マジで嫌)
@kyoumu_west,修論発表終わり、修論と論文は終わらない。
@daison_phoeni,オ゛ア゛ァ゛～～～゛～～゛～～（修論が終わらない叫び）
@boekohuki,家の掃除したすぎるのに修論修正が終わらない、泣きそう
@touka610,修論発表終わり！！！！なおまだ終わらない模様
@aFc7glp9w9XgN8p,発表資料も修論もレポートも何もかもが終わらない、けどそれだけじゃなく家事もしないと生きていけない、生活のための諸々の手続きも必要、更には研究資料を探して、コピーして、時には取り寄せて、本の返却期限も気にしなきゃ、って身体もメンタルも疲弊しまくってたときに石田正宗に救われてました。
@ow4_pc,修論計画終わらない人生になりそう。
@pcccd984hhh,修論終わらないよ(泣)
@kohaq0,修論完成あとは副査への説明と発表会と概論提出と…あれれ！？まだまだ全然終わらない！？！？次回、バカもん★こんなのやり直しだ！
@Akimemokabu,報告書が終わらない。ここまで追い込まれたのは修論以来や
@impact_tmr_saga,とにかく修論終わらないとマジで身動き取れない🥲🥲🥲
@kkwmn_,今は修論発表のスライド作りに勤しんでおります（終わらない）（3:58）
@mist_bloom_,修論終わったのに修論が終わらない
@kaji_0910,なんかdiscordでゲームしてるっぽい同級生とそれを見ているっぽい同級生修論が終わらない先輩この時間まで起きてるくせに全くレポートに手をつけてないおれ
@orgchem_yossy,ねむい、実験おわらないよ。修論スライドも終わらないよ。奨学金の申請書もおわらないよ。何もおわらないよ。
@yWnyULVFZG5TG5X,人間として時間の使い方の偏りがとんでもないので先週末遊んでいた人とは思えないくらい全身全霊で修論をやっている（じゃないと終わらない）
@karasumipasuta3,終わらない卒論・修論…………俺達の研究はこれからだ！
