No.,応援の言葉
1,今ここまで来たのは、あなたが頑張ってきた証拠だよ
2,できていないことより、続けていることがすごい
3,今しんどいのは、ちゃんと向き合っているから
4,少しずつでも前に進んでる、それで十分
5,今日はこれだけやれた、それでOK
6,完璧じゃなくていい、続けているのが一番えらい
7,今は見えなくても、積み重ねはちゃんと残ってる
8,休む判断ができるのも、頑張ってる証拠
9,誰でもつまずくところを、今あなたは通ってる
10,ここまで来た自分を、ちゃんと評価していい
11,進みが遅いんじゃなくて、丁寧なだけ
12,今日できなかったことは、明日に回せばいい
13,不安になるほど、真剣にやってるってこと
14,今の苦しさは、無駄にならない
15,うまくいかない日があっても、やめてないのがすごい
16,自分を責めなくていい、十分やってる
17,一歩も進んでないようで、ちゃんと経験は増えてる
18,途中で悩むのは、成長してる証拠
19,今日の自分も、昨日より前にいる
20,大丈夫、ちゃんと終わりは来る
21,今は信じられなくても、後から振り返れる日が来る
22,ここまで積み上げた時間は裏切らない
23,周りと比べなくていい、自分のペースでいい
24,迷っているのは、手を抜いてないから
25,今の努力は、確実に未来の自分を助ける
26,できない日がある前提で、ここまで来てる
27,続けているだけで、本当に立派
28,今日の「これくらい」で十分
29,今のあなたは、ちゃんと頑張ってる側の人
30,今日はここまででいい、また続きはできる
31,今やめてない、それだけで十分すごい
32,うまくいかない時間も、前進の一部
33,今日の努力は、ちゃんと意味がある
34,進んでないようで、実は前にいる
35,焦らなくていい、順番に片付いていく
36,今感じてる不安は、真面目な証拠
37,少し休んでも、積み上げは消えない
38,今日は耐えただけでも合格
39,迷いながら進んでるのが一番強い
40,自分に厳しすぎなくていい
41,今ここにいる時点で、十分やってる
42,完璧じゃなくても、前には進める
43,今日は踏みとどまれた、それでいい
44,立ち止まるのも、ちゃんと進行中
45,今日の自分を否定しなくていい
46,できなかった分、学びは増えてる
47,ここまで来た事実は変わらない
48,今の苦しさは、後で意味を持つ
49,少しずつ形になってきてる
50,投げ出さなかった、それが一番大事
51,今日も続けた、それだけで十分
52,進みが遅くても、止まってはいない
53,今は耐える時間、それも必要
54,比べなくていい、自分の歩幅で
55,ここまで来た自分を軽く見ないで
56,今日できたこと、ちゃんとある
57,不安は前向きに考えてる証
58,今は見えなくても、積み重なってる
59,やめなかった自分を褒めていい
60,今日も一日、よく持ちこたえた
61,完成じゃなくて、継続が正解
62,今日の失敗は、無駄にならない
63,迷ってるのは、ちゃんと考えてるから
64,今はしんどくて当たり前
65,少しずつでも、確実に前進してる
66,今日の努力は、ちゃんと残る
67,今の自分は、ちゃんと頑張ってる
68,今日はここまでで十分
69,できない日も含めて、ちゃんと進行中
70,考え続けてるだけで価値がある
71,今日も向き合った、それが一番
72,焦る必要はない、順調だから
73,今のペースで大丈夫
74,投げ出さない判断ができてる
75,今日の自分も、ちゃんと意味がある
76,進まない日は、準備してる日
77,不安があるのは、真剣な証拠
78,今の苦労は、ちゃんと力になる
79,今日も続けた、それで十分
80,完璧じゃない日があっていい
81,今の積み重ねは裏切らない
82,今日の一歩は小さくていい
83,立ち止まっても、後退じゃない
84,今日もやめなかった、それがすごい
85,今は見えなくても、進んでる
86,今日の悩みは、明日の材料
87,無理しすぎなくていい
88,今日の自分に合格出していい
89,今ここまで来た事実は消えない
90,今日もちゃんと頑張った
91,進みが遅いんじゃない、丁寧
92,今日の時間は無駄じゃない
93,不安になれるほど、真面目
94,今日も続けた自分を信じていい
95,今は耐久戦、それでいい
96,今日の努力は未来に繋がる
97,完成じゃなくて継続が勝ち
98,今日も踏みとどまれた
99,今のあなたは、ちゃんと前にいる
100,今日もやり切った、それで十分
101,今はしんどくて当然
102,今日の自分を否定しなくていい
103,少しずつ、ちゃんと進んでる
104,今日も続けた、それが全て
105,今の努力は、必ず意味を持つ
106,今日もここまで来た
107,不安は前向きなサイン
108,今日の一日も無駄じゃない
109,今のあなたは十分やってる
110,今日も一歩前にいる
111,続けている事実が強い
